gov_fr,gov_to,families,tents,individuals,settlement,color,
zarqa,zarqa,82,114,541,13,#377EB8,1
zarqa,Al_Mafraq,11,14,50,1,#377EB8,1
Madaba,Madaba,37,38,186,10,#377EB8,2
Madaba,Amman,2,3,9,1,#377EB8,2
Maan,Al_Balqa,4,4,15,1,#4DAF4A,3
Maan,Maan,43,62,281,13,#F781BF,3
Maan,Al_Mafraq,2,2,10,1,#F781BF,3
Karak,Karak,26,33,145,6,#4DAF4A,4
Karak,Al_Balqa,11,13,61,2,#4DAF4A,4
Karak,Al_Mafraq,5,6,17,1,#4DAF4A,4
Karak,Maan,4,6,33,2,#4DAF4A,4
Jarash,Jarash,6,8,55,1,#FF7F00,5
Irbid,Irbid,237,319,1551,32,#FF7F00,6
Irbid,Al_Mafraq,67,86,394,9,#FF7F00,6
Irbid,Amman,6,7,57,2,#377EB8,6
Irbid,Maan,10,9,30,2,#377EB8,6
Aqaba,Aqaba,33,48,215,4,#F781BF,7
Amman,Amman,210,255,1291,30,#377EB8,8
Amman,zarqa,11,13,54,1,#377EB8,8
Al_Mafraq,Al_Mafraq,1189,1427,6497,118,#E41A1C,9
Al_Mafraq,Al_Balqa,3,3,15,1,#FFFF33,9
Al_Balqa,Al_Balqa,326,488,1750,49,#FF7F00,10
Al_Balqa,Amman,302,414,1791,33,#FF7F00,10
Al_Balqa,Al_Mafraq,277,349,1499,33,#FF7F00,10
Al_Balqa,Irbid,44,54,191,8,#999999,10
Al_Balqa,Madaba,32,41,154,4,#984EA3,10
Al_Balqa,zarqa,5,7,29,2,#984EA3,10
Al_Balqa,Maan,22,29,135,3,#984EA3,10
